"stkSym1","stkSym2","compInd","intraStkTimePeriod","interStkTimePeriod","timeInd","corVal"
"VNET","ALOT",1,7,3,30,-0.582614402134823
"VNET","ALOT",1,7,3,31,0.314806319412694
"VNET","AUTO",1,7,3,1,0.718911433197504
"VNET","AUTO",1,7,3,2,0.864466195154798
"VNET","AUTO",1,7,3,3,-0.0950090042474884
"VNET","AUTO",1,7,3,4,0.76099772083616
"VNET","AUTO",1,7,3,5,0.357539381895864
"VNET","AUTO",1,7,3,6,-0.63211228990766
"VNET","AUTO",1,7,3,7,0.876512339162236
"VNET","AUTO",1,7,3,8,-0.795403798236749
"VNET","AUTO",1,7,3,9,0.0149019878267651
"VNET","AUTO",1,7,3,10,0.801565985198655
"VNET","AUTO",1,7,3,11,-0.299777514034994
"VNET","AUTO",1,7,3,12,-0.00243588555478013
"VNET","AUTO",1,7,3,13,-0.170379686267847
"VNET","AUTO",1,7,3,14,0.322841429358713
"VNET","AUTO",1,7,3,15,0.811909293324145
"VNET","AUTO",1,7,3,16,-0.0967895289173146
"VNET","AUTO",1,7,3,17,-0.776242887683455
"VNET","AUTO",1,7,3,18,0.53526522961997
"VNET","AUTO",1,7,3,19,-0.939337709998957
"VNET","AUTO",1,7,3,20,-0.0390851449123569
"VNET","AUTO",1,7,3,21,0.199670102500002
"VNET","AUTO",1,7,3,22,-0.756940591336032
"VNET","AUTO",1,7,3,23,-0.786185654757207
"VNET","AUTO",1,7,3,24,0.576532447435078
"VNET","AUTO",1,7,3,25,-0.360819618171549
"VNET","AUTO",1,7,3,26,-0.911978925174896
"VNET","AUTO",1,7,3,27,-0.445469198979809
"VNET","AUTO",1,7,3,28,0.261293643036559
"VNET","AUTO",1,7,3,29,-0.0402410997639917
"VNET","AUTO",1,7,3,30,0.320481362341573
"VNET","AUTO",1,7,3,31,0.614760254285319
"VNET","BOSC",1,7,3,1,0.400080157262806
"VNET","BOSC",1,7,3,2,0.699779868481252
"VNET","BOSC",1,7,3,3,0.319699986606651
"VNET","BOSC",1,7,3,4,0.26003349939015
"VNET","BOSC",1,7,3,5,0.903696114115064
"VNET","BOSC",1,7,3,6,-0.596956593975017
"VNET","BOSC",1,7,3,7,-0.567997621514939
"VNET","BOSC",1,7,3,8,0.120096115353818
"VNET","BOSC",1,7,3,9,-0.260732315770171
"VNET","BOSC",1,7,3,10,-0.475548888953662
"VNET","BOSC",1,7,3,11,-0.394172464006873
"VNET","BOSC",1,7,3,12,-0.642837881221457
"VNET","BOSC",1,7,3,13,0.653636195675302
"VNET","BOSC",1,7,3,14,0.385585046602356
"VNET","BOSC",1,7,3,15,0.236008147254891
"VNET","BOSC",1,7,3,16,-0.867919963487173
"VNET","BOSC",1,7,3,17,0.562958132102671
"VNET","BOSC",1,7,3,18,0.362365312798573
"VNET","BOSC",1,7,3,19,0.169593868030748
"VNET","BOSC",1,7,3,20,-0.566503419251348
"VNET","BOSC",1,7,3,21,0.379715788586413
"VNET","BOSC",1,7,3,22,-0.386187197561812
"VNET","BOSC",1,7,3,23,0.0989649623156763
"VNET","BOSC",1,7,3,24,0.391490981471752
"VNET","BOSC",1,7,3,25,-0.433340830644392
"VNET","BOSC",1,7,3,26,-0.745290090627331
"VNET","BOSC",1,7,3,27,0.213132459680288
"VNET","BOSC",1,7,3,28,0.630518905546874
"VNET","BOSC",1,7,3,29,-0.545599513948898
"VNET","BOSC",1,7,3,30,-0.498124532483198
"VNET","BOSC",1,7,3,31,-0.629190797507707
"VNET","BIDU",1,7,3,1,0.47682976308443
"VNET","BIDU",1,7,3,2,0.246339510916811
"VNET","BIDU",1,7,3,3,-0.648192103171102
"VNET","BIDU",1,7,3,4,0.72598875970626
"VNET","BIDU",1,7,3,5,-0.649724405930709
"VNET","BIDU",1,7,3,6,0.650970692027914
"VNET","BIDU",1,7,3,7,-0.293790906658882
"VNET","BIDU",1,7,3,8,0.134674698579144
"VNET","BIDU",1,7,3,9,-0.950003264881098
"VNET","BIDU",1,7,3,10,-0.616365288266083
"VNET","BIDU",1,7,3,11,0.562797374360699
"VNET","BIDU",1,7,3,12,0.550678595614769
"VNET","BIDU",1,7,3,13,0.849469330208811
"VNET","BIDU",1,7,3,14,-0.247938312672405
"VNET","BIDU",1,7,3,15,-0.633255336718136
"VNET","BIDU",1,7,3,16,-0.0941420521248211
"VNET","BIDU",1,7,3,17,-0.24303230797869
"VNET","BIDU",1,7,3,18,0.445294570532116
"VNET","BIDU",1,7,3,19,0.804898250726486
"VNET","BIDU",1,7,3,20,-0.961053140036931
"VNET","BIDU",1,7,3,21,0.325798948379436
"VNET","BIDU",1,7,3,22,0.522379754850094
"VNET","BIDU",1,7,3,23,-0.743761167382538
"VNET","BIDU",1,7,3,24,0.688038448401918
"VNET","BIDU",1,7,3,25,-0.333060092485024
"VNET","BIDU",1,7,3,26,-0.509659210390417
"VNET","BIDU",1,7,3,27,-0.648395425514104
"VNET","BIDU",1,7,3,28,-0.811113177308699
"VNET","BIDU",1,7,3,29,-0.626227622783903
"VNET","BIDU",1,7,3,30,0.0116886730752688
"VNET","BIDU",1,7,3,31,0.849289833748582
"VNET","BKYI",1,7,3,1,-0.789402320434602
"VNET","BKYI",1,7,3,2,0.554205684329387
"VNET","BKYI",1,7,3,3,-0.768332260462544
"VNET","BKYI",1,7,3,4,-0.686030309544303
"VNET","BKYI",1,7,3,5,-0.73029674334022
"VNET","BKYI",1,7,3,6,0.27708748967685
"VNET","BKYI",1,7,3,7,0.406610142249698
"VNET","BKYI",1,7,3,8,0.262071209180478
"VNET","BKYI",1,7,3,9,-0.681029961122102
"VNET","BKYI",1,7,3,10,0.434697003170679
"VNET","BKYI",1,7,3,11,-0.392458484603044
"VNET","BKYI",1,7,3,12,0.878775149120561
"VNET","BKYI",1,7,3,13,0.795812550269342
"VNET","BKYI",1,7,3,14,-0.325069853853529
"VNET","BKYI",1,7,3,15,-0.298474143265346
"VNET","BKYI",1,7,3,16,0.574878421823203
"VNET","BKYI",1,7,3,17,-0.272914670703555
"VNET","BKYI",1,7,3,18,-0.635458090529027
"VNET","BKYI",1,7,3,19,0.916777112739262
"VNET","BKYI",1,7,3,20,-0.353759769927526
"VNET","BKYI",1,7,3,21,-0.547765353345174
"VNET","BKYI",1,7,3,22,0.261509626321793
"VNET","BKYI",1,7,3,23,-0.722288858552557
"VNET","BKYI",1,7,3,24,-0.86979242483226
"VNET","BKYI",1,7,3,25,0.233265248750435
"VNET","BKYI",1,7,3,26,0.758230680153639
"VNET","BKYI",1,7,3,27,0.930996886812045
"VNET","BKYI",1,7,3,28,-0.456744206993786
"VNET","BKYI",1,7,3,29,-0.398071228421429
"VNET","BKYI",1,7,3,30,-0.0700861972487029
"VNET","BKYI",1,7,3,31,-0.127150409497427
"VNET","BBOX",1,7,3,1,0.572740474887499
"VNET","BBOX",1,7,3,2,-0.37203611205128
"VNET","BBOX",1,7,3,3,0.0122516354046949
"VNET","BBOX",1,7,3,4,0.576258828316753
"VNET","BBOX",1,7,3,5,-0.968962790249909
"VNET","BBOX",1,7,3,6,0.672480037038529
"VNET","BBOX",1,7,3,7,0.520526736978543
"VNET","BBOX",1,7,3,8,-0.0993638990332304
"VNET","BBOX",1,7,3,9,0.74183990306841
"VNET","BBOX",1,7,3,10,0.986683068917461
"VNET","BBOX",1,7,3,11,0.471084164300891
"VNET","BBOX",1,7,3,12,-0.363852003293176
"VNET","BBOX",1,7,3,13,0.894335897351111
"VNET","BBOX",1,7,3,14,0.267553200255704
"VNET","BBOX",1,7,3,15,0.465175478647322
"VNET","BBOX",1,7,3,16,-0.583954578586817
